title,category,url,stars,language,updated_at,tags,skills,target_roles,selection_reason,trust_level
alexcasalboni/aws-lambda-power-tuning,cloud,https://github.com/alexcasalboni/aws-lambda-power-tuning,6022,JavaScript,2026-06-12T15:12:27Z,"aws,aws-lambda,cloud,cost,lambda,performance,serverless,stepfunctions,cloud-cost-optimization,javascript","Cloud Architecture, Cost Optimization, Monitoring, JavaScript","Cloud Engineer, DevOps Engineer, Platform Engineer",Strong reference for serverless performance and cost optimization.,approved_implementation_reference
cloud-custodian/cloud-custodian,cloud,https://github.com/cloud-custodian/cloud-custodian,6012,Python,2026-06-18T01:54:48Z,"aws,azure,cloud,cloud-computing,compliance,finops,gcp,kubernetes,management,oci,rules-engine,serverless,tencent-cloud,terraform,cloud-cost-optimization,python","Cloud Architecture, Cost Optimization, Monitoring, Python","Cloud Engineer, DevOps Engineer, Platform Engineer",Strong reference for cloud governance and resource policy automation.,approved_implementation_reference
hystax/optscale,cloud,https://github.com/hystax/optscale,2103,Python,2026-06-17T13:29:39Z,"aws,azure,cloud,cloud-cost,cloud-cost-intelligence,cost-optimization,devops,finops,gcp,kubernetes,paas-instrumentation,paas-profiling,s3-optimization,cloud-cost-optimization,python","Cloud Architecture, Cost Optimization, Monitoring, Python","Cloud Engineer, DevOps Engineer, Platform Engineer",Strong reference for cloud cost optimization and FinOps workflows.,approved_implementation_reference
RizwanMunawar/yolov5-object-tracking,computer_vision,https://github.com/RizwanMunawar/yolov5-object-tracking,124,Python,2026-03-16T13:41:35Z,"computer-vision,object-detection,object-tracking,streamlit-dashboard,yolov5,object-detection-dashboard,python","Computer Vision, OCR, Object Detection, Python","Computer Vision Engineer, ML Engineer, AI Engineer","Relevant computer-vision detection, tracking, and dashboard reference.",approved_implementation_reference
codedog-ai/codedog,developer_tools,https://github.com/codedog-ai/codedog,193,Python,2026-06-17T13:01:11Z,"code-review,code-review-bot,langchain,pull-request-review,code-review-assistant,python","Code Analysis, GitHub APIs, Developer Productivity, Python","Developer Tools Engineer, Software Engineer, Platform Engineer",Relevant LLM-powered code review implementation reference.,approved_implementation_reference
github-community-projects/org-metrics-dashboard,developer_tools,https://github.com/github-community-projects/org-metrics-dashboard,85,TypeScript,2026-05-03T09:51:47Z,"dashboard,health,open-source,repository-health-dashboard,typescript","Code Analysis, GitHub APIs, Developer Productivity, TypeScript","Developer Tools Engineer, Software Engineer, Platform Engineer",Relevant repository health and developer analytics reference.,approved_implementation_reference
curiousily/Credit-Card-Fraud-Detection-using-Autoencoders-in-Keras,fintech,https://github.com/curiousily/Credit-Card-Fraud-Detection-using-Autoencoders-in-Keras,587,Jupyter Notebook,2026-06-07T16:25:51Z,"anomaly-detection,autoencoders,credit-card-fraud,deep-learning,keras,tensorflow,tensorflow-tutorial,fraud-detection-transactions,jupyter-notebook","Fraud Detection, Risk Scoring, Financial Analytics, Jupyter Notebook","FinTech Engineer, ML Engineer, Data Scientist",Relevant fraud-detection implementation reference.,approved_implementation_reference
awslabs/realtime-fraud-detection-with-gnn-on-dgl,fintech,https://github.com/awslabs/realtime-fraud-detection-with-gnn-on-dgl,227,TypeScript,2026-04-09T00:33:49Z,"amplify-js,appsync,aws,aws-cdk,dgl,documentdb,fraud-detection,gnn,graph-database,neptune,sagemaker,fraud-detection-transactions,typescript","Fraud Detection, Risk Scoring, Financial Analytics, TypeScript","FinTech Engineer, ML Engineer, Data Scientist",Strong reference for real-time graph-based fraud detection.,approved_implementation_reference
vanderschaarlab/mlforhealthlabpub,healthcare_ai,https://github.com/vanderschaarlab/mlforhealthlabpub,470,Python,2026-05-25T18:36:16Z,"deep-learning,healthcare,machine-learning,healthcare-machine-learning,python","Healthcare Analytics, NLP, Clinical Data, Python","Healthcare AI Engineer, ML Engineer, Data Scientist",Strong machine learning for healthcare reference.,approved_implementation_reference
aphp/edsnlp,healthcare_ai,https://github.com/aphp/edsnlp,165,Python,2026-06-17T14:05:46Z,"clinical-data-warehouse,deep-learning,fast,french,medical,multi-task,nlp,pytorch,rule-based,spacy,text-mining,clinical-notes-nlp,python","Healthcare Analytics, NLP, Clinical Data, Python","Healthcare AI Engineer, ML Engineer, Data Scientist",Strong healthcare NLP and clinical text-processing reference.,approved_implementation_reference
evidentlyai/evidently,mlops,https://github.com/evidentlyai/evidently,7612,Jupyter Notebook,2026-06-18T12:23:25Z,"data-drift,data-quality,data-science,data-validation,generative-ai,hacktoberfest,html-report,jupyter-notebook,llm,llmops,machine-learning,mlops,model-monitoring,pandas-dataframe,ml-pipeline-monitoring,jupyter-notebook","MLOps, Model Monitoring, Experiment Tracking, Model Deployment, Jupyter Notebook","MLOps Engineer, ML Engineer, Platform Engineer",Strong reference for ML evaluation and monitoring workflows.,approved_implementation_reference
aimhubio/aim,mlops,https://github.com/aimhubio/aim,6161,Python,2026-06-18T10:41:56Z,"ai,data-science,data-visualization,experiment-tracking,machine-learning,metadata,metadata-tracking,ml,mlflow,mlops,prompt-engineering,python,pytorch,tensorboard,tensorflow,visualization,mlops-experiment-tracking,python","MLOps, Model Monitoring, Experiment Tracking, Model Deployment, Python","MLOps Engineer, ML Engineer, Platform Engineer",Strong reference for experiment tracking and ML workflow observability.,approved_implementation_reference
determined-ai/determined,mlops,https://github.com/determined-ai/determined,3224,Go,2026-06-14T08:52:53Z,"data-science,deep-learning,distributed-training,hyperparameter-optimization,hyperparameter-search,hyperparameter-tuning,keras,kubernetes,machine-learning,ml-infrastructure,ml-platform,mlops,pytorch,tensorflow,mlops-experiment-tracking,go","MLOps, Model Monitoring, Experiment Tracking, Model Deployment, Go","MLOps Engineer, ML Engineer, Platform Engineer",Strong reference for model training and experiment management.,approved_implementation_reference
infiniflow/ragflow,rag_llm,https://github.com/infiniflow/ragflow,83123,Python,2026-06-18T15:01:02Z,"agentic-ai,agentic-retrieval,agentic-search,ai,ai-agents,context-engine,context-management,llm-apps,rag,retrieval-augmented-generation,retrieval-augmented-generation,python","RAG, Semantic Search, LLM Evaluation, Embeddings, Python","AI Engineer, LLM Application Engineer, NLP Engineer",Production-oriented RAG platform with ingestion and retrieval signals.,approved_implementation_reference
HKUDS/LightRAG,rag_llm,https://github.com/HKUDS/LightRAG,36752,Python,2026-06-18T15:01:23Z,"genai,gpt,gpt-4,graphrag,knowledge-graph,large-language-models,llm,rag,retrieval-augmented-generation,retrieval-augmented-generation,python","RAG, Semantic Search, LLM Evaluation, Embeddings, Python","AI Engineer, LLM Application Engineer, NLP Engineer",Strong reference for graph-enhanced RAG architecture.,approved_implementation_reference
microsoft/graphrag,rag_llm,https://github.com/microsoft/graphrag,33845,Python,2026-06-18T14:59:49Z,"gpt,gpt-4,gpt4,graphrag,llm,llms,rag,retrieval-augmented-generation,python","RAG, Semantic Search, LLM Evaluation, Embeddings, Python","AI Engineer, LLM Application Engineer, NLP Engineer",Strong reference for graph-based retrieval and research grounding.,approved_implementation_reference
